================ Training Loss (Sun Apr 20 23:12:10 2025) ================
(epoch: 4, iters: 100, time: 0.052, data: 0.381) G_GAN: 2.513 G_L1: 22.827 D_i_real: 1.240 D_i_fake: 0.662 D_v_real: 0.634 D_v_fake: 0.630 C_label: 2.607 
(epoch: 4, iters: 200, time: 0.064, data: 0.002) G_GAN: 2.477 G_L1: 22.196 D_i_real: 1.197 D_i_fake: 0.684 D_v_real: 0.633 D_v_fake: 0.630 C_label: 2.607 
(epoch: 4, iters: 300, time: 0.051, data: 0.001) G_GAN: 2.467 G_L1: 24.190 D_i_real: 1.155 D_i_fake: 0.663 D_v_real: 0.633 D_v_fake: 0.631 C_label: 2.607 
(epoch: 4, iters: 400, time: 0.055, data: 0.001) G_GAN: 2.414 G_L1: 22.976 D_i_real: 1.085 D_i_fake: 0.678 D_v_real: 0.632 D_v_fake: 0.657 C_label: 2.606 
(epoch: 4, iters: 500, time: 0.051, data: 0.002) G_GAN: 2.452 G_L1: 20.900 D_i_real: 1.150 D_i_fake: 0.649 D_v_real: 0.632 D_v_fake: 0.630 C_label: 2.607 
(epoch: 4, iters: 600, time: 0.060, data: 0.002) G_GAN: 2.313 G_L1: 21.653 D_i_real: 1.037 D_i_fake: 0.699 D_v_real: 0.632 D_v_fake: 0.629 C_label: 2.608 
(epoch: 4, iters: 700, time: 0.051, data: 0.001) G_GAN: 2.203 G_L1: 23.629 D_i_real: 1.026 D_i_fake: 0.664 D_v_real: 0.632 D_v_fake: 0.630 C_label: 2.608 
(epoch: 4, iters: 800, time: 0.051, data: 0.002) G_GAN: 2.113 G_L1: 26.249 D_i_real: 0.982 D_i_fake: 0.685 D_v_real: 0.631 D_v_fake: 0.630 C_label: 2.607 
(epoch: 4, iters: 900, time: 0.051, data: 0.002) G_GAN: 2.175 G_L1: 24.060 D_i_real: 0.847 D_i_fake: 0.743 D_v_real: 0.631 D_v_fake: 0.647 C_label: 2.607 
(epoch: 4, iters: 1000, time: 0.058, data: 0.001) G_GAN: 2.089 G_L1: 24.925 D_i_real: 0.880 D_i_fake: 0.725 D_v_real: 0.631 D_v_fake: 0.628 C_label: 2.608 
