================ Training Loss (Sat May 24 05:30:33 2025) ================
(epoch: 1, iters: 100, time: 0.089, data: 0.709) G_GAN: 2.164 G_L1: 54.718 D_i_real: 1.027 D_i_fake: 0.851 D_v_real: 1.313 D_v_fake: 1.292 C_label: 2.622 
(epoch: 1, iters: 200, time: 0.091, data: 0.002) G_GAN: 2.204 G_L1: 47.790 D_i_real: 0.989 D_i_fake: 0.849 D_v_real: 1.116 D_v_fake: 1.165 C_label: 2.622 
(epoch: 1, iters: 300, time: 0.091, data: 0.002) G_GAN: 2.194 G_L1: 46.556 D_i_real: 1.035 D_i_fake: 0.798 D_v_real: 0.913 D_v_fake: 0.885 C_label: 2.622 
(epoch: 1, iters: 400, time: 0.106, data: 0.002) G_GAN: 2.347 G_L1: 38.974 D_i_real: 0.888 D_i_fake: 0.774 D_v_real: 0.814 D_v_fake: 0.797 C_label: 2.622 
(epoch: 1, iters: 500, time: 0.089, data: 0.002) G_GAN: 2.162 G_L1: 38.711 D_i_real: 0.944 D_i_fake: 0.718 D_v_real: 0.787 D_v_fake: 0.727 C_label: 2.623 
(epoch: 1, iters: 600, time: 0.097, data: 0.002) G_GAN: 2.103 G_L1: 33.926 D_i_real: 0.912 D_i_fake: 0.792 D_v_real: 0.751 D_v_fake: 0.723 C_label: 2.623 
(epoch: 1, iters: 700, time: 0.092, data: 0.002) G_GAN: 2.174 G_L1: 36.038 D_i_real: 0.941 D_i_fake: 0.746 D_v_real: 0.718 D_v_fake: 1.229 C_label: 2.623 
(epoch: 1, iters: 800, time: 0.105, data: 0.003) G_GAN: 2.233 G_L1: 34.609 D_i_real: 0.933 D_i_fake: 0.786 D_v_real: 0.709 D_v_fake: 0.680 C_label: 2.623 
(epoch: 1, iters: 900, time: 0.093, data: 0.002) G_GAN: 2.276 G_L1: 40.306 D_i_real: 0.837 D_i_fake: 0.834 D_v_real: 0.716 D_v_fake: 1.064 C_label: 2.622 
================ Training Loss (Sat May 24 05:32:53 2025) ================
(epoch: 1, iters: 100, time: 0.091, data: 0.495) G_GAN: 2.211 G_L1: 63.620 D_i_real: 0.997 D_i_fake: 0.824 D_v_real: 1.305 D_v_fake: 1.474 C_label: 2.576 
(epoch: 1, iters: 200, time: 0.096, data: 0.002) G_GAN: 2.274 G_L1: 52.050 D_i_real: 0.856 D_i_fake: 0.791 D_v_real: 1.208 D_v_fake: 1.186 C_label: 2.574 
(epoch: 1, iters: 300, time: 0.090, data: 0.002) G_GAN: 2.139 G_L1: 46.947 D_i_real: 0.899 D_i_fake: 0.860 D_v_real: 0.975 D_v_fake: 1.231 C_label: 2.575 
